name,lat,lng,max_temp,percent_humidity,percent_cloudiness,wind_speed,current_description
camargo,27.6667,-105.1667,291.05,24,0,1.01,clear sky
kodiak,57.79,-152.4072,274.15,69,1,2.76,clear sky
sitka,57.0531,-135.33,274.15,37,75,4.12,broken clouds
bluff,-46.6,168.3333,291.03,62,100,3.92,moderate rain
hobart,-42.8794,147.3294,290.93,51,75,5.66,broken clouds
ancud,-41.8697,-73.8203,290.37,72,0,2.06,clear sky
nikolskoye,59.7035,30.7861,264.15,86,75,3.0,broken clouds
busselton,-33.65,115.3333,292.04,97,67,2.24,broken clouds
whitehorse,60.7161,-135.0538,253.15,84,75,1.54,light snow
bredasdorp,-34.5322,20.0403,287.15,82,15,2.57,few clouds
egvekinot,66.3167,-179.1667,248.09,87,9,7.07,clear sky
saint-augustin,51.226,-58.6502,264.59,92,2,4.56,clear sky
husavik,66.0449,-17.3389,272.15,80,75,3.28,broken clouds
new norfolk,-42.7826,147.0587,289.82,64,100,0.89,overcast clouds
arlit,18.7369,7.3853,292.12,20,100,1.78,overcast clouds
hermanus,-34.4187,19.2345,290.37,76,6,2.68,clear sky
namibe,-15.1961,12.1522,295.26,80,73,1.98,broken clouds
chuy,-33.6971,-53.4616,291.41,82,16,2.75,moderate rain
thompson,55.7435,-97.8558,240.15,68,75,6.69,snow
hilo,19.7297,-155.09,299.15,57,75,4.63,broken clouds
bluff,-46.6,168.3333,291.03,62,100,3.92,moderate rain
port alfred,-33.5906,26.891,290.93,95,95,1.34,overcast clouds
gornopravdinsk,60.05,69.9,256.01,92,100,4.94,overcast clouds
esperance,-33.8667,121.9,299.15,53,0,9.26,clear sky
ankang,32.68,109.0172,282.59,23,100,1.79,overcast clouds
bluff,-46.6,168.3333,291.03,62,100,3.92,moderate rain
kaitangata,-46.2817,169.8464,292.04,80,100,2.68,light rain
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
port elizabeth,-33.918,25.5701,291.15,82,0,4.63,clear sky
airai,-8.9266,125.4092,294.97,85,100,1.77,overcast clouds
viedma,-40.8135,-62.9967,287.59,68,93,5.37,overcast clouds
saskylakh,71.9167,114.0833,235.09,80,43,5.26,scattered clouds
avarua,-21.2078,-159.775,302.15,79,40,4.12,light rain
port elizabeth,-33.918,25.5701,291.15,82,0,4.63,clear sky
ponta do sol,32.6667,-17.1,287.59,74,44,1.34,scattered clouds
plettenberg bay,-34.0527,23.3716,289.94,81,71,3.23,broken clouds
kaitangata,-46.2817,169.8464,292.04,80,100,2.68,light rain
kieta,-6.2167,155.6333,302.84,74,27,3.8,moderate rain
lashio,22.9333,97.75,287.57,89,84,0.61,broken clouds
busselton,-33.65,115.3333,292.04,97,67,2.24,broken clouds
airai,-8.9266,125.4092,294.97,85,100,1.77,overcast clouds
avarua,-21.2078,-159.775,302.15,79,40,4.12,light rain
kochinda,21.7333,84.35,284.15,76,0,1.65,haze
severo-kurilsk,50.6789,156.125,269.71,92,79,9.15,light snow
ushuaia,-54.8,-68.3,283.15,81,75,2.06,broken clouds
thinadhoo,0.5333,72.9333,300.78,71,88,4.47,overcast clouds
esperance,-33.8667,121.9,299.15,53,0,9.26,clear sky
santa rosa,14.3122,121.1114,303.15,62,40,3.6,scattered clouds
ushuaia,-54.8,-68.3,283.15,81,75,2.06,broken clouds
cidreira,-30.1811,-50.2056,294.46,73,0,3.3,clear sky
axim,4.8699,-2.2405,299.61,86,63,3.84,broken clouds
puerto ayora,-0.7393,-90.3518,298.15,95,100,2.78,light rain
port lincoln,-34.7333,135.8667,291.74,69,52,6.99,broken clouds
ponta do sol,32.6667,-17.1,287.59,74,44,1.34,scattered clouds
bredasdorp,-34.5322,20.0403,287.15,82,15,2.57,few clouds
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
austin,30.2672,-97.7431,290.15,39,1,4.12,clear sky
grenville,12.1167,-61.6167,299.15,78,40,6.69,scattered clouds
marawi,7.9986,124.2928,299.26,90,100,1.06,light rain
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
bluff,-46.6,168.3333,291.03,62,100,3.92,moderate rain
khatanga,71.9667,102.5,240.62,80,34,5.64,scattered clouds
santiago del estero,-27.7951,-64.2615,299.26,55,2,1.79,clear sky
chervonohryhorivka,47.623,34.5389,263.15,85,75,4.0,broken clouds
port hawkesbury,45.6169,-61.3485,270.93,80,90,7.2,snow
mayo,38.8876,-76.5119,274.15,47,1,3.6,clear sky
dawson creek,55.7666,-120.2362,237.15,75,1,1.48,clear sky
castro,-24.7911,-50.0119,286.7,69,0,3.11,clear sky
atuona,-9.8,-139.0333,299.67,74,8,9.2,clear sky
hobart,-42.8794,147.3294,290.93,51,75,5.66,broken clouds
khatanga,71.9667,102.5,240.62,80,34,5.64,scattered clouds
qaanaaq,77.484,-69.3632,264.87,85,100,3.0,overcast clouds
zavolzhye,56.6428,43.3936,249.15,77,0,5.0,clear sky
pangai,-19.8,-174.35,298.15,94,90,5.14,moderate rain
ixtapa,20.7,-105.2,294.26,83,1,1.54,clear sky
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
saint-philippe,-21.3585,55.7679,300.15,61,90,3.6,overcast clouds
chokurdakh,70.6333,147.9167,247.58,89,100,3.17,overcast clouds
tsiroanomandidy,-18.7667,46.0333,293.19,93,100,1.01,overcast clouds
ushuaia,-54.8,-68.3,283.15,81,75,2.06,broken clouds
tasiilaq,65.6145,-37.6368,270.15,46,20,2.57,few clouds
saldanha,-33.0117,17.9442,290.15,72,0,4.12,clear sky
tuktoyaktuk,69.4541,-133.0374,240.15,68,40,4.12,snow
hithadhoo,-0.6,73.0833,300.94,70,12,4.78,few clouds
praia,14.9215,-23.5087,293.15,64,75,9.26,broken clouds
ushuaia,-54.8,-68.3,283.15,81,75,2.06,broken clouds
hermanus,-34.4187,19.2345,290.37,76,6,2.68,clear sky
san juan bautista,-14.0108,-75.7358,296.15,78,75,2.57,broken clouds
grand-santi,4.25,-54.3833,295.89,97,100,1.3,overcast clouds
taltal,-25.4,-70.4833,291.33,74,0,1.09,clear sky
plettenberg bay,-34.0527,23.3716,289.94,81,71,3.23,broken clouds
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
isangel,-19.55,169.2667,303.15,70,40,3.09,scattered clouds
cape town,-33.9258,18.4232,292.04,72,0,5.66,clear sky
kapaa,22.0752,-159.319,296.15,53,20,3.09,few clouds
beringovskiy,63.05,179.3167,258.64,94,100,7.43,snow
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
san quintin,30.4833,-115.95,288.53,74,0,3.24,clear sky
tocopilla,-22.092,-70.1979,294.26,69,92,1.81,overcast clouds
dingle,10.9995,122.6711,297.5,92,100,5.07,overcast clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
kochubey,44.3861,46.5825,271.27,93,100,0.94,overcast clouds
risor,58.7206,9.2342,265.93,69,12,4.02,few clouds
ancud,-41.8697,-73.8203,290.37,72,0,2.06,clear sky
